frame,state,schedule_progress,raw_target_median_m,forced_target_s_m,target_scale_factor,scaled_target_alignment_error_m,focus_distance_used_for_coc_m
1,tracking,0.0,38.126041412353516,38.126041412353516,1.0,0.0,38.126041412353516
2,tracking,0.008403361344537815,38.05037307739258,37.93170492989676,0.9968812882003955,5.44956755277326e-07,37.93170492989676
3,tracking,0.01680672268907563,36.318145751953125,37.73736844744001,1.0390775097710092,1.0899135034492247e-06,37.73736844744001
4,tracking,0.025210084033613446,37.10860061645508,37.54303196498326,1.0117070258999619,1.6348702587265507e-06,37.54303196498326
5,tracking,0.03361344537815126,35.926536560058594,37.34869548252651,1.0395851940832226,-1.6348702587265507e-06,37.34869548252651
6,tracking,0.04201680672268908,34.89247131347656,37.15435900006975,1.064824519486517,-1.0899135034492247e-06,37.15435900006975
7,tracking,0.05042016806722689,34.45722579956055,36.960022517613005,1.0726348874576077,3.269740510347674e-06,36.960022517613005
8,tracking,0.058823529411764705,36.242454528808594,36.76568603515625,1.0144369776592186,0.0,36.76568603515625
9,tracking,0.06722689075630252,36.07118606567383,36.571349552699495,1.0138660116724476,5.44956755277326e-07,36.571349552699495
10,tracking,0.07563025210084033,37.011802673339844,36.37701307024275,0.9828489952597109,1.0899135034492247e-06,36.37701307024275
11,tracking,0.08403361344537816,36.36635208129883,36.18267658778599,0.9949493011258809,1.6348702587265507e-06,36.18267658778599
12,tracking,0.09243697478991597,36.59832000732422,35.98834010532924,0.983333117425256,-1.6348702587265507e-06,35.98834010532924
13,tracking,0.10084033613445378,35.114559173583984,35.79400362287249,1.019349365769616,-1.0899135034492247e-06,35.79400362287249
14,tracking,0.1092436974789916,35.96997833251953,35.59966714041574,0.9897049926280049,-5.44956755277326e-07,35.59966714041574
15,tracking,0.11764705882352941,36.04064178466797,35.405330657958984,0.9823723692129352,-3.814697265625e-06,35.405330657958984
16,tracking,0.12605042016806722,35.92811584472656,35.21099417550223,0.9800400980579228,5.44956755277326e-07,35.21099417550223
17,tracking,0.13445378151260504,33.94118118286133,35.01665769304548,1.0316864785697917,-2.7247837621757753e-06,35.01665769304548
18,tracking,0.14285714285714285,35.44704818725586,34.822321210588726,0.9823757686855364,-2.1798270068984493e-06,34.822321210588726
19,tracking,0.15126050420168066,36.2747802734375,34.62798472813198,0.9546021910293582,-1.6348702587265507e-06,34.62798472813198
20,tracking,0.15966386554621848,35.85593795776367,34.43364824567522,0.9603332169482268,-1.0899135034492247e-06,34.43364824567522
21,tracking,0.16806722689075632,35.460453033447266,34.23931176321847,0.9655632918993735,-5.449567481718987e-07,34.23931176321847
22,tracking,0.17647058823529413,37.58212661743164,34.04497528076172,0.9058820866451636,0.0,34.04497528076172
23,tracking,0.18487394957983194,35.1866455078125,33.85063879830496,0.9620308588606179,5.44956755277326e-07,33.85063879830496
24,tracking,0.19327731092436976,36.27928924560547,33.656302315848215,0.9277001566375787,1.0899135034492247e-06,33.656302315848215
25,tracking,0.20168067226890757,34.95542526245117,33.46196583339146,0.9572753179843595,1.6348702587265507e-06,33.46196583339146
26,tracking,0.21008403361344538,34.90193176269531,33.26762935093471,0.9531744425244848,2.1798270068984493e-06,33.26762935093471
27,tracking,0.2184873949579832,35.65258026123047,33.07329286847796,0.9276549586634745,2.7247837621757753e-06,33.07329286847796
28,tracking,0.226890756302521,34.37185287475586,32.87895638602121,0.9565663074907697,3.269740510347674e-06,32.87895638602121
29,tracking,0.23529411764705882,35.584991455078125,32.68461990356445,0.9184945272454245,0.0,32.68461990356445
30,tracking,0.24369747899159663,34.31032943725586,32.490283421107705,0.9469534089004736,5.449567481718987e-07,32.490283421107705
