frame,rack_progress,rack_focus_distance_m,fixed_depth_scale_a,fixed_depth_offset_b,first_frame_target_raw_median_m,first_frame_bonnet_raw_median_m
1,0.0,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
2,0.004878048780487805,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
3,0.00975609756097561,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
4,0.014634146341463415,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
5,0.01951219512195122,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
6,0.024390243902439025,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
7,0.02926829268292683,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
8,0.03414634146341464,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
9,0.03902439024390244,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
10,0.04390243902439024,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
11,0.04878048780487805,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
12,0.05365853658536585,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
13,0.05853658536585366,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
14,0.06341463414634146,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
15,0.06829268292682927,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
16,0.07317073170731707,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
17,0.07804878048780488,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
18,0.08292682926829269,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
19,0.08780487804878048,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
20,0.09268292682926829,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
21,0.0975609756097561,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
22,0.1024390243902439,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
23,0.1073170731707317,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
24,0.11219512195121951,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
25,0.11707317073170732,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
26,0.12195121951219512,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
27,0.12682926829268293,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
28,0.13170731707317074,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
29,0.13658536585365855,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
30,0.14146341463414633,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
31,0.14634146341463414,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
32,0.15121951219512195,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
33,0.15609756097560976,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
34,0.16097560975609757,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
35,0.16585365853658537,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
36,0.17073170731707318,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
37,0.17560975609756097,60.0,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
38,0.18048780487804877,59.99999595222633,1.6800666193023104,-4.054289503032654,38.126041412353516,4.19881534576416
